term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
slug,0.05,0.05,0.05,0.05,2.028754739108304,0.05,0.05,3.066802923977181,0.05,0.0500000003861909,0.05,0.05,0.05,0.050000000629807424,1.0544423357567754,0.05,0.05,2.0500000001174494,0.05,0.05000000000011006
slugs,0.05,1.0499999697367848,0.05,0.05,8.040317252021874,0.05,0.05,2.2624581860822546,0.05,0.05,1.0499997578963713,0.05,0.05000000071941354,0.05,0.05000040019582256,0.05000000037070784,0.05,0.05,1.050000000079184,1.8472244328587324
slytherins,0.05,2.8800949374178137,0.05000000021512385,0.05,0.05,0.05,0.05,7.077020339809345,1.1113189325358965,6.6430225979925375,0.05000000543513071,0.05,0.05000000040161916,0.05000000010984023,12.490974792873885,0.050000003336257245,0.05000000031700186,0.05046291221492816,1.0500000000538359,1.097105477253568
smell,1.175492086033047,0.19880698559834536,0.05,0.05,0.7118570088429633,1.1035068288081133,0.05,13.98419642258276,0.05000000029867398,3.2865703928461,5.718196537052177,0.05,2.647714212443006,4.079571073632827,12.94286630295302,0.05000000016424038,1.4288196623287164,0.05000000010269735,1.0500000000641894,14.322402486211088
smells,0.05,1.0500000000128098,0.05423691602506905,0.05,0.05,0.05,0.05,3.4919867338707338,0.05000000017483792,0.05000000608868584,0.48042168769753774,0.05,0.0500000002586585,0.05,2.912763813309474,0.05,0.05,0.050000000371642477,0.05,0.31059084214966903
smile,4.725582114183964,5.746919535035873,1.5441473943153545,1.030002664747201,2.0500000001886973,4.49051842973914,0.05,50.61229545370408,3.402022914534956,4.329455391453014,4.106920299786118,0.05,15.317198378708943,4.98862370474791,68.27632821106972,0.05000000076053928,8.879854528472539,4.9611090324375295,2.8001237308223654,27.588898215255703
smile eyes,0.05,0.05,0.05,0.05,1.0500000001013141,0.05000000657573832,0.05,1.318234350456897,0.05,0.05000000017242015,0.05,0.05,1.049999992738856,1.049999999862632,1.7817656470736274,0.05,0.05000000234027568,0.05,0.05,0.05000000064472006
smile face,0.050000000147778494,2.2143780624368894,0.05003968474945126,0.05,0.05,1.1634095278228578,0.05,5.342967605129412,1.0500000000664373,1.5151277601603006,0.05001246332023793,0.05,1.8202785021073626,3.1023444766108974,13.496982502377936,0.050000000102814454,0.05000000054355484,0.05000000021032495,0.05,1.7444594141761613
smile mouth,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.050323087727390525,0.050000000644232497,0.05,0.404867487412235,0.05,1.1021603321733053,0.05,5.642649091758966,0.05,0.05,0.050000000050941185,0.05,0.05000000021195261
smiles,0.05,0.05000000017917554,0.05000000063421535,0.05,0.05,0.05,0.05,1.5650681863827316,0.050000001406143635,0.0500000024461293,0.05,0.05,0.050000000710726134,0.05000000010524099,3.161114387256428,1.0893960769738549,2.0496074410512426,1.2877225682590459,0.05,0.1470913345668402
smirk,0.050000040137034116,0.05,0.05,0.05,0.05,0.05,0.05,7.0248903631248085,0.05,0.7867996958376988,0.05,0.05,0.05,0.05000000045881076,1.07844107647358,0.05000000039466154,0.05000000026347793,0.05,0.05,1.3098688232727784
smoke,0.0500000000987874,11.414867741986104,0.050000000072753896,0.05,0.05000000012472736,2.29807539743147,0.05,16.131134276477606,0.05000000039460093,0.050000000044057615,2.112967112538969,0.05,5.3361345197879295,3.4022675820689368,5.146471226429735,0.050000000371910394,1.7889405661566022,5.108420573542605,0.6130423465719388,14.197678655866174
smoking,0.05000000135398005,0.05000000028340132,0.05,0.05,0.05000000043909503,0.05000000018786507,0.05,0.050000000864791345,0.05,2.9766197214516885,0.05000000063402727,0.05,3.022276173914252,0.7456763601968073,0.05000000257624802,0.050000001582768586,0.26211398762238086,0.05000000047518748,0.05,2.243313748378558
smooth,0.05,1.0499999998369747,0.05,0.05,0.05,1.0500000000348049,0.05,1.2440526853064096,0.05,0.05000000013871326,0.30179640442770006,0.05,1.7543182047069044,0.05,0.050000000594268644,0.05,0.05000000265219663,3.7982035953701683,0.05,2.1516291068978783
snake,3.054775156757077,2.081998828691795,0.05,0.05,0.05,0.05573031095992876,0.05,44.90372390164843,3.6799086142870685,0.0500000000302735,0.4762840210493043,0.05,34.27986509470017,0.05,6.770945935624209,0.050000000309153844,0.050000000012187004,15.719312854859275,1.0499999999695662,79.47745528107276
snake eyes,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.9391618791599912,0.05,0.05,0.05,0.05,0.05000000046782043,0.05,0.05000000848858985,0.05,0.05,0.05,0.05,4.160838111863205
snake head,0.05,0.05000000018246846,0.05,0.05,0.05,0.05000000066433074,0.05,2.833067392074536,0.05,0.05,0.05,0.05,0.14503359480497668,0.05,0.5484411085193308,0.05,0.05,1.3828096581284333,0.05,3.3406482455962156
snake snake,1.0500000000186267,0.05000000000233634,0.05,0.05,0.05,0.05,0.05,11.236442431693373,0.05,0.05,0.05000000004945907,0.05,0.05004444756565817,0.05,0.05000000275352777,0.05,0.05,1.8874707908282522,0.05,7.026042327069381
snakelike,1.0500000000424732,0.9753186743789166,0.05,0.05,0.05,0.051561376469346956,0.05,1.1300154664006277,0.05,0.05,0.05,0.05,0.05050560882329666,0.05,0.05000000044092459,0.05,0.05,0.05,0.05,5.042598873415272
snakes,0.05,0.05000091433989554,0.05000000017022387,0.05,0.05,0.050000000077335696,0.05,6.439711473071601,0.0500000007573938,0.050000000237685485,1.049999996113872,0.05,2.4616660510666972,0.05,4.10670981000486,0.05000000387206456,0.05,0.05000000073407064,0.05,2.1919117495181557
snap,1.0499995313704025,3.5644033322443343,1.8351210337514063,0.05,0.05,0.05,0.05,3.319474011444964,0.05,0.050000000983048284,1.1246821858665335,0.05,0.05000000588752702,0.05000000003856196,3.548919732311568,0.05,0.05000077703102849,2.0931087734424585,0.050000000035315614,1.864290615547806
snape,0.05000000029303477,5.817393866645314,0.26567636664557037,2.0249671263455102,3.203984145767063,3.7714198618789747,0.05,13.669682681599054,0.05000000022675764,9.13828617796365,1.2051966063229231,0.05,61.9921003146571,0.05000000003103246,87.02715113969711,0.05000000019761585,11.95162858174419,8.35673392062801,1.051673104596755,36.22410610472845
snape eyes,0.05,0.05000000041118694,0.05,0.05,0.05,0.05,0.05,0.4271843743738987,0.05,0.05,0.050000000143284845,0.05,2.8634592158821195,0.05,2.1776623313920425,0.05,1.6728156256171773,0.05,0.05,2.1088784521492636
snape face,0.05,0.050000000020836495,0.05,0.05,0.05,0.938335727670835,0.05,0.05000000004687517,0.05,0.05,0.05000000003089232,0.05,0.05000000024992385,0.05,1.7567985602080463,0.05,0.05,0.05,0.05,5.454865711753349
snape wand,0.05,0.050000000237523046,0.05,0.05,0.05,1.2951457590486481,0.05,0.050003610722458736,0.05,1.0500000000105143,0.05,0.05,0.050002906803443284,0.05000000018194748,5.894113430181655,0.05000000088867432,0.0500000001798373,0.133810368494296,0.05,0.8769239232249775
sneakoscope,0.05,0.05000057738213488,0.05,0.05,0.05,0.05,0.05,3.1454948963068388,0.05000000228524082,0.05000000146105554,0.050000001551758246,0.05,0.050000000138434815,0.05000000058505774,3.7543701771476585,0.05,0.050000001558724694,0.05,0.05,1.2501343415465198
sneer,0.050000001900282656,0.05000000006044775,0.05,0.05,0.05,0.7406482375510537,0.05,1.2255064309333865,0.05,0.050000001214087264,0.06563477378692809,0.05,2.52243267293969,0.05,4.679187546699258,0.05,0.05,1.1319067657628887,0.05,0.9846835691123849
sniff,2.04999999976011,0.05,0.05,0.05,0.05,0.05,0.05,0.050000000738223825,0.05,1.6876437804742537,0.23956388382829946,0.05,1.054365540729942,0.05,1.9656851427361837,1.3027416507800071,0.05000000020106127,0.050000000507914616,0.05,0.05000000021777252
snitch,0.05053238033559199,0.06006264156918046,0.05,0.05,4.035922684202525,1.049999999989596,0.05,4.896700257149298,0.05,20.181676160725058,12.449592623925057,0.05,3.3783059342016615,2.1255105065911963,4.2728731380235825,0.05,0.05000000021114989,0.05000000002225802,0.05,2.048823673020962
