title,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,polarity
Harry Potter and the Philosopher's Stone,0.0014491910714142335,0.001023768509030213,0.0011328222268523383,0.001598179274009437,0.0011179898676199054,0.0012475273807761947,0.0007565298912838598,0.0011620972033643672,-0.000864165674714115
Harry Potter and the Chamber of Secrets,0.001311390482126634,0.0008914944232111563,0.0011245802984824868,0.0016311285319684438,0.001076734426489164,0.001284748496956053,0.0007350898784410953,0.001265178269993767,-0.0008190054075044209
Harry Potter and the Prisoner of Azkaban,0.001332782364930633,0.0008975003420527845,0.001105973919484042,0.001680524080995018,0.0008937860765204118,0.0013762007771240706,0.0007623376124656495,0.001191535935072829,-0.0009587113356337652
Harry Potter and the Goblet of Fire,0.001395343750689649,0.0009539539164304103,0.0009847654006419958,0.0015345632056428902,0.0009561088264300266,0.001330478890423406,0.0006773659891772526,0.0012534589301618764,-0.000784681153085893
Harry Potter and the Order of the Phoenix,0.00106529760725117,0.0007721859203692321,0.0008519839493613595,0.0012742150082719961,0.000710306552237828,0.0010429960942153673,0.0005274590579768565,0.0009522794467582534,-0.0007509799082093614
Harry Potter and the Half-Blood Prince,0.0012978520886382816,0.0009517851218670945,0.0010286658969851598,0.0014956131742856562,0.0009858294353660565,0.0012956662021409709,0.0007046903539283123,0.0012019199591130978,-0.000756384117308552
Harry Potter and the Deathly Hallows,0.0012211141254996518,0.0008101696616998118,0.0009692823378317022,0.0015232975680241417,0.000834332171740837,0.0012289064948276306,0.0006138856178700977,0.0010252838739511826,-0.0009128475528448465
