book_id,chap_num,n,book_chap_sig
1,1.0,4745,0.0002265708892634103
1,2.0,3544,0.00021731600602815574
1,3.0,3964,0.00021599911405729638
1,4.0,3807,0.00030986058342957827
1,5.0,6774,0.00029363774582909913
1,6.0,6538,0.00020952554378313837
1,7.0,4578,0.0001844157533916182
1,8.0,3136,0.0002222869939520808
1,9.0,5093,0.0002140181359055729
1,10.0,4425,0.0001614554970976699
1,11.0,3433,0.0002280056364104312
1,12.0,5648,0.00020632273888175108
1,13.0,3336,0.0001877283322295787
1,14.0,3629,0.00020169251373199676
1,15.0,5306,0.00022512699689865358
1,16.0,6690,0.00017451833938057228
1,17.0,5631,0.00023950209651285332
2,1.0,2650,0.0002255280932041426
2,2.0,2963,0.00025268139065111957
2,3.0,4683,0.00021283777754520946
2,4.0,5923,0.0002617075514184792
2,5.0,5535,0.00018111141953356462
2,6.0,4726,0.00028749772405179275
2,7.0,4721,0.0002514180315889824
2,8.0,4502,0.0002728654384934296
2,9.0,5313,0.0002509938034406231
2,10.0,5449,0.00023785772896115886
2,11.0,6185,0.00027473339133422424
2,12.0,5617,0.0002459236134847583
2,13.0,5670,0.000208895932858625
2,14.0,4053,0.00021021703478956764
2,15.0,4800,0.00016414064200897627
2,16.0,5856,0.0001915230190560481
2,17.0,5617,0.00021756290998222914
2,18.0,3835,0.0002375019034469642
3,1.0,3793,0.00019835640021384482
3,2.0,3998,0.00032087636589021325
3,3.0,4522,0.0002862912018917532
3,4.0,5290,0.00024157381705164729
3,5.0,6770,0.00019288856443146804
3,6.0,6898,0.0002496213304833404
3,7.0,4349,0.0002617658605199487
3,8.0,5186,0.00022054873104693768
3,9.0,5436,0.00017311353543487417
3,10.0,7276,0.00023201899183762005
3,11.0,5769,0.0002503625498755007
3,12.0,4960,0.00025103150846821206
3,13.0,4357,0.00018432304577533094
3,14.0,5708,0.00021878163282799335
3,15.0,5672,0.0002060306059943079
3,16.0,4513,0.0001982854938772813
3,17.0,4338,0.00020564405428547672
3,18.0,2359,0.00025996189797403146
3,19.0,5352,0.0002974637377432854
3,20.0,1983,0.00020833684534693914
3,21.0,7520,0.0001620078251475087
3,22.0,4905,0.0002084024026842472
4,1.0,4228,0.00016813124974698044
4,2.0,2898,0.00022915459343002335
4,3.0,3281,0.00020912605820782828
4,4.0,3079,0.0002277265539488427
4,5.0,3921,0.00024976556530377096
4,6.0,2459,0.0002722342397008602
4,7.0,5402,0.0003354041028649475
4,8.0,5934,0.0002442999010602155
4,9.0,7446,0.0002121936996251643
4,10.0,3319,0.0002701758804930276
4,11.0,3358,0.0002361745644435906
4,12.0,5582,0.0002155214274802858
4,13.0,3995,0.00025349418991312775
4,14.0,5032,0.00023933830492336116
4,15.0,5371,0.00022203405209198467
4,16.0,6266,0.00019301116580142601
4,17.0,4225,0.0002460837154385292
4,18.0,6839,0.0002246417393650874
4,19.0,6607,0.00020722033398477195
4,20.0,7314,0.00020632275108202388
4,21.0,5731,0.0002844868327005625
4,22.0,4630,0.0002594761621256804
4,23.0,8429,0.00027637268130475593
4,24.0,6492,0.0002759349586612334
4,25.0,5730,0.0001980356062783311
4,26.0,8215,0.00022739952296859712
4,27.0,7303,0.00022659963019011303
4,28.0,7570,0.0002626737164878915
4,29.0,4539,0.00019680631036343441
4,30.0,6468,0.0001837826651562679
4,31.0,8127,0.00018990197287413102
4,32.0,2038,0.00015252117544751773
4,33.0,4076,0.0002481865097463497
4,34.0,2971,0.00018450767587826147
4,35.0,6082,0.00017697251821999888
4,36.0,6323,0.00023048299459886391
4,37.0,5087,0.00021437656602501986
5,1.0,5931,0.0002713968921176348
5,2.0,6276,0.00026616233617530495
5,3.0,5387,0.0002338187594528293
5,4.0,5926,0.0002114804488070173
5,5.0,5616,0.00026292280957956486
5,6.0,6998,0.00025486798768290187
5,7.0,4679,0.00021593191000345677
5,8.0,4291,0.00023746707961916775
5,9.0,8351,0.00024714151694644196
5,10.0,5999,0.00024365821300743578
5,11.0,6097,0.0002327791868772831
5,12.0,8607,0.000289915647553464
5,13.0,9240,0.000245191691970371
5,14.0,8380,0.00022247306444009784
5,15.0,7067,0.00029863641033513275
5,16.0,6133,0.00025528383527838154
5,17.0,6802,0.0002514116344559064
5,18.0,7087,0.00023406885724202125
5,19.0,6886,0.0002257714537508603
5,20.0,6269,0.00032224589454746657
5,21.0,7568,0.0002591888260580386
5,22.0,8220,0.00023020748344546068
5,23.0,7661,0.00025952916162620194
5,24.0,8272,0.00024337100828607068
5,25.0,8324,0.000264364647279383
5,26.0,8766,0.00022728606467207137
5,27.0,7685,0.00025617092880684465
5,28.0,8213,0.00023704399266855436
5,29.0,7684,0.00027176027510233155
5,30.0,8520,0.0002766810928167464
5,31.0,8179,0.0002343763558562217
5,32.0,6428,0.00023325511102523553
5,33.0,3949,0.00024754893272682226
5,34.0,5334,0.00014884967153028046
5,35.0,7934,0.00018842322066812107
5,36.0,3882,0.00017509109799705258
5,37.0,8200,0.00022053743588166535
5,38.0,7781,0.00023197894595699425
6,1.0,5261,0.00021573918531636656
6,2.0,5004,0.00023508351328325035
6,3.0,4831,0.000236776500680631
6,4.0,6125,0.0002804265205265244
6,5.0,6207,0.000268847109962743
6,6.0,6098,0.0002783671499276455
6,7.0,6759,0.0002986715466934213
6,8.0,4394,0.00020708563024982984
6,9.0,6088,0.000286016834690221
